sell_date, sell_price, sell_amount, sell_value, buy_date, buy_price, buy_value, profit, tax
29.01.2017. , 862.228394 , 0.038052888665785 , 32.8102810813606 , 15.11.2016. , 656.980347 , 24.999999999999797 , 7.810281081360802 , 1.5620562162721605
29.01.2017. , 862.228394 , 0.059863135153551 , 51.61569488325122 , 17.12.2016. , 751.714722 , 45.00000000000002 , 6.6156948832512015 , 1.3231389766502404
29.01.2017. , 862.228394 , 0.018062527450688995 , 15.574024035388486 , 06.01.2017. , 956.649658 , 17.27951070831724 , -1.7054866729287532 , -0.34109733458575064
05.02.2017. , 967.925049 , 0.034203210149146006 , 33.10614385956944 , 06.01.2017. , 956.649658 , 32.720489291682654 , 0.38565456788678887 , 0.07713091357735778
05.02.2017. , 967.925049 , 0.057646147074434 , 55.79714973168274 , 09.01.2017. , 867.360657 , 49.9999999999997 , 5.797149731683035 , 1.1594299463366071
05.02.2017. , 967.925049 , 0.058087356092438 , 56.224206992053496 , 11.01.2017. , 860.772522 , 49.99999999999992 , 6.224206992053574 , 1.244841398410715
05.02.2017. , 967.925049 , 0.136639593375874 , 132.2568851136829 , 12.01.2017. , 731.852295 , 100.00000000000018 , 32.25688511368271 , 6.451377022736543
05.02.2017. , 967.925049 , 0.064658184983555 , 62.58427686845853 , 16.01.2017. , 773.297302 , 49.999999999999986 , 12.584276868458545 , 2.516855373691709
05.02.2017. , 967.925049 , 0.001270415607395 , 1.22966708903817 , 16.01.2017. , 787.143982 , 0.999999999999849 , 0.229667089038321 , 0.045933417807664204
05.02.2017. , 967.925049 , 0.017439453151393 , 16.88008354609527 , 28.01.2017. , 860.118713 , 14.99999999999994 , 1.8800835460953316 , 0.3760167092190663
05.02.2017. , 967.925049 , 0.06397353479320801 , 61.92158679941907 , 30.01.2017. , 858.750366 , 54.937296417981116 , 6.984290381437951 , 1.3968580762875904
